Class	Var1	Var2	TICePVal	PearsonR	SpearmanRho	MICe
None	tvoc	lux	4.564924e-02	0.002536	-0.006233	0.150857
None	tvoc	no2	1.028433e-02	0.077263	0.072547	0.181719
None	tvoc	co	1.028433e-02	0.055570	0.053968	0.181719
None	tvoc	co2	4.262385e-02	0.013112	0.026090	0.130468
None	tvoc	pm1_number	1.194612e-02	-0.021749	-0.055825	0.125879
None	tvoc	pm2p5_number	1.197004e-02	-0.021699	-0.052663	0.111979
None	tvoc	pm10_number	1.895478e-02	-0.021672	-0.051297	0.126581
None	tvoc	pm1_mass	1.197004e-02	-0.021691	-0.051872	0.111979
None	tvoc	pm2p5_mass	1.058620e-02	-0.019533	-0.022259	0.194725
None	tvoc	pm10_mass	1.197004e-02	-0.017806	-0.011982	0.180710
None	tvoc	temperature_c	4.799016e-03	-0.036322	-0.058723	0.181719
None	tvoc	rh	9.817757e-03	0.058935	0.054364	0.181719
None	lux	no2	3.226433e-07	0.068495	0.028719	0.613859
None	lux	co	3.226433e-07	0.334232	0.351075	0.930745
None	lux	co2	3.226433e-07	0.691635	0.689225	0.574563
None	lux	pm1_number	3.226433e-07	-0.231843	-0.362069	0.856747
None	lux	pm2p5_number	3.226433e-07	-0.239498	-0.359212	0.789966
None	lux	pm10_number	3.226433e-07	-0.240860	-0.357520	0.789966
None	lux	pm1_mass	3.226433e-07	-0.239938	-0.358444	0.789966
None	lux	pm2p5_mass	3.226433e-07	-0.253798	-0.328801	0.491579
None	lux	pm10_mass	6.353591e-07	-0.248865	-0.313271	0.380325
None	lux	temperature_c	3.226433e-07	0.512071	0.576721	0.550384
None	lux	rh	3.226433e-07	0.189522	0.153705	0.495444
None	no2	co	3.226433e-07	0.726084	-0.001494	0.926653
None	no2	co2	3.226433e-07	0.172103	-0.107747	0.768154
None	no2	pm1_number	3.226433e-07	-0.186371	0.009547	0.926653
None	no2	pm2p5_number	3.226433e-07	-0.251224	0.007585	0.926653
None	no2	pm10_number	3.226433e-07	-0.264182	0.006547	0.926653
None	no2	pm1_mass	3.226433e-07	-0.255346	0.006985	0.926653
None	no2	pm2p5_mass	3.226433e-07	-0.530950	-0.059796	0.926653
